name,park,country,score,status,manufacturer,construction,launch,restraint,type,opening_year,height,speed,length,inversions
Lech Coaster,Legendia,Poland,96.8,Operating,Vekoma,Steel,Chain lift hill,Vest restraint,Looper,2017,131.232,59.030245,2978.9664,0
Goliath,Six Flags Great America,United States,96.7,Operating,RMC,Wooden,Chain lift hill,Lap bar,Twister,2014,180.444,71.457665,3116.76,2
Iron Rattler,Six Flags Fiesta Texas,United States,96.5,Operating,RMC,Hybrid,Chain lift hill,Lap bar,NA,2013,180.444,70.214923,3267.6768,1
X2,Six Flags Magic Mountain,United States,96.1,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,NA,2002,173.8824,75.807262,3608.88,6
iSpeed,Mirabilandia,Italy,95.9,Operating,Intamin,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,Rocket,2009,180.444,74.56452,3280.8,3
Katun,Mirabilandia,Italy,95.8,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2000,164.04,64.622584,3936.96,6
Intimidator 305,Kings Dominion,United States,95.8,Operating,Intamin,Steel,Cable lift hill,Shoulder harness,Giga,2010,305.1144,90.098795,5101.644,0
Flying Dinosaur,Universal Studios Japan,Japan,95.8,Operating,B&M,Steel,Chain lift hill,Flying restraint,NA,2016,124.6704,NA,3687.6192,5
Flying Aces,Ferrari World,United Arab Emirates,95.4,Operating,Intamin,Steel,Cable lift hill,Lap bar,NA,2016,206.6904,74.56452,4921.2,1
Phoenix,Knoebels,United States,95.3,Operating,Philadelphia Toboggan Coaster,Wooden,Chain lift hill,Lap bar,Out & Back,1985,78.7392,44.738712,3198.78,0
Time Traveler,Silver Dollar City,United States,95.2,Operating,Mack,Steel,Magnetic Launch (LIM/LSM),Lap bar,NA,2018,98.424,49.70968,3018.336,3
Millennium Force,Cedar Point,United States,95.2,Operating,Intamin,Steel,Cable lift hill,Lap bar,Giga,2000,308.3952,93.20565,6594.408,0
Mako,SeaWorld Orlando,United States,94.9,Operating,B&M,Steel,Chain lift hill,Lap bar,"Hyper, Out & Back",2016,200.1288,71.457665,4757.16,0
Griffon,Busch Gardens Williamsburg,United States,94.6,Operating,B&M,Steel,Chain lift hill,Shoulder harness,Dive,2007,203.4096,74.56452,3116.76,2
Goliath,Walibi Holland,Netherlands,94.5,Operating,Intamin,Steel,Cable lift hill,Lap bar,Megacoaster,2002,154.1976,65.865326,3982.8912,0
Joker,Six Flags Discovery Kingdom,United States,94.3,Operating,RMC,Hybrid,Chain lift hill,Lap bar,NA,2016,101.7048,52.816535,3198.78,3
Balder,Liseberg,Sweden,94.3,Operating,Intamin,Wooden,Chain lift hill,Lap bar,Twister,2003,118.1088,55.92339,3510.456,0
Lightning Run,Kentucky Kingdom,United States,94,Operating,Chance Rides,Steel,Chain lift hill,Lap bar,NA,2014,101.7048,55.92339,2509.812,0
Nemesis,Alton Towers,United Kingdom,93.9,Operating,B&M,Steel,Chain lift hill,Shoulder harness,Terrain,NA,42.6504,50.331051,2349.0528,4
Schwur des Kärnan,Hansa Park,Germany,93.6,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,Infinity,2015,239.4984,78.914117,4051.788,1
OzIris,Parc Asterix,France,93.6,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2012,131.232,56.544761,3280.8,5
Goliath,Six Flags Over Georgia,United States,93.4,Operating,B&M,Steel,Chain lift hill,Lap bar,Hyper,2006,200.1288,69.593552,4478.292,0
New Texas Giant,Six flags Over Texas,United States,93.2,Operating,RMC,Hybrid,Chain lift hill,Lap bar,NA,2011,154.1976,65.243955,4199.424,0
Fenix,Toverland,Netherlands,92.8,Operating,B&M,Steel,Chain lift hill,Vest restraint,NA,2018,131.232,59.030245,2667.2904,3
Superman : the Ride,Six Flags New England,United States,92.8,Operating,Intamin,Steel,Chain lift hill,Lap bar,Megacoaster,2000,206.6904,77.050004,5400.1968,0
Montu,Busch Gardens Tampa,United States,92.7,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1996,150.9168,59.651616,3982.8912,7
SheiKra,Busch Gardens Tampa,United States,92.5,Operating,B&M,Steel,Chain lift hill,Shoulder harness,Dive,2005,200.1288,70.214923,3188.9376,1
Xcelerator,Knott's Berry Farm,United States,92.4,Operating,Intamin,Steel,Hydraulic cable launch,Lap bar,Rocket,2002,203.4096,82.020972,2201.4168,0
Skyrush,Hersheypark,United States,92.4,Operating,Intamin,Steel,Cable lift hill,Shoulder harness,Megacoaster,2012,196.848,74.56452,3608.88,0
Tron Lightcycle Power Run,Shanghaï Disneyland,China,92.3,Operating,Vekoma,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,NA,2016,78.7392,59.030245,3182.376,0
Afterburn,Carowinds,United States,92.2,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1999,111.5472,62.1371,2952.72,6
Tatsu,Six Flags Magic Mountain,United States,92.1,Operating,B&M,Steel,Chain lift hill,Flying restraint,NA,2006,170.6016,62.1371,3599.0376,4
Superman la Atraccion de Acero,Parque Warner Madrid,Spain,92,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2002,164.04,65.243955,3936.96,7
Kingda Ka,Six Flags Great Adventure,United States,91.9,Operating,Intamin,Steel,Hydraulic cable launch,Shoulder harness,"Rocket, Strata",2005,456.0312,128.002426,3116.76,0
Nitro,Six Flags Great Adventure,United States,91.6,Operating,B&M,Steel,Chain lift hill,Lap bar,Hyper,2001,229.656,79.535488,5393.6352,0
Thunderbird,Holiday World,United States,91.1,Operating,B&M,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,NA,2015,141.0744,62.1371,3034.74,4
Manta,SeaWorld Orlando,United States,90.9,Operating,B&M,Steel,Chain lift hill,Flying restraint,NA,2009,141.0744,60.272987,3359.5392,4
Kawasemi,Tobu Zoo Park,Japan,90.8,Operating,Intamin,Steel,Cable lift hill,Unknown,Megalite,2008,104.9856,54.059277,2460.6,0
Piraten,Djurs Sommerland,Denmark,90.8,Operating,Intamin,Steel,Chain lift hill,Lap bar,Megalite,2008,104.9856,55.92339,2477.004,0
GateKeeper,Cedar Point,United States,90.5,Operating,B&M,Steel,Chain lift hill,Flying restraint,NA,2013,170.6016,67.108068,4163.3352,6
Black Mamba,Phantasialand,Germany,90.3,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2006,85.3008,49.70968,NA,4
Do-Dodonpa,Fuji-Q Highland,Japan,90.2,Operating,S&S,Steel,Compressed air launch,Lap bar,Air Powered,2001,170.6016,106.875812,3900.8712,0
The Monster,Walygator Parc,France,90.1,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2010,137.7936,57.166132,3936.96,6
Alpina Blitz,Nigloland,France,89.9,Operating,Mack,Steel,Chain lift hill,Lap bar,Megacoaster,NA,98.424,62.1371,2624.64,0
Alpengeist,Busch Gardens Williamsburg,United States,89.9,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1997,196.848,67.108068,NA,6
Troy,Toverland,Netherlands,89.5,Operating,GCI,Wooden,Chain lift hill,Lap bar,Twister,2007,114.828,NA,3280.8,0
Ravine Flyer II,Waldameer,United States,89.2,Operating,Gravity Group,Hybrid,Chain lift hill,Lap bar,Twister,2008,78.7392,56.544761,2900.2272,0
Icon,Blackpool Pleasure Beach,United Kingdom,89.1,Operating,Mack,Steel,Magnetic Launch (LIM/LSM),Lap bar,Looper,2018,88.5816,49.70968,3749.9544,1
Battlestar Galactica - CYLON,Universal Studios Singapore,Singapore,89,Operating,Vekoma,Steel,Electrical lift hill,Shoulder harness,NA,2010,137.7936,55.92339,NA,0
Stealth,Thorpe Park,United Kingdom,88.9,Operating,Intamin,Steel,Hydraulic cable launch,Shoulder harness,Rocket,2006,206.6904,83.885085,1312.32,0
Superman Krypton Coaster,Six Flags Fiesta Texas,United States,88.6,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2000,167.3208,70.214923,4025.5416,6
Behemoth,Canada's Wonderland,Canada,88.5,Operating,B&M,Steel,Chain lift hill,Lap bar,Hyper,2008,229.656,77.050004,5318.1768,0
Wodan : Timbur Coaster,Europa Park,Germany,88.5,Operating,GCI,Wooden,Chain lift hill,Lap bar,Twister,2012,114.828,62.1371,3444.84,0
Red Force,Ferrari Land,Spain,88.3,Operating,Intamin,Steel,Magnetic Launch (LIM/LSM),Lap bar,"Rocket, Strata",2017,367.4496,114.953635,2887.104,0
Apollo's Chariot,Busch Gardens Williamsburg,United States,88,Operating,B&M,Steel,Chain lift hill,Lap bar,Hyper,1999,170.6016,73.321778,4881.8304,0
Full Throttle,Six Flags Magic Mountain,United States,88,Operating,Premier Rides,Steel,Magnetic Launch (LIM/LSM),Lap bar,NA,2013,157.4784,69.593552,2198.136,2
Storm Runner,Hersheypark,United States,88,Operating,Intamin,Steel,Hydraulic cable launch,Shoulder harness,Rocket,2004,183.7248,74.56452,2644.3248,3
Mystic Timbers,Kings Island,United States,87.8,Operating,GCI,Wooden,Chain lift hill,Lap bar,Twister,2017,108.2664,52.816535,3264.396,0
Junker,PowerPark,Finland,87.4,Operating,Gerstlauer,Infinity,Magnetic Launch (LIM/LSM),Lap bar,NA,2015,131.232,64.622584,2821.488,3
Revenge of the Mummy,Universal Studios Florida,United States,87.4,Operating,Premier Rides,Steel,Magnetic Launch (LIM/LSM),Lap bar,NA,2004,45.9312,40.389115,2198.136,0
Talon,Dorney Park,United States,87.3,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2001,134.5128,57.787503,3116.76,4
Mr Freeze Reverse Blast,Six flags Over Texas,United States,87.1,Operating,Premier Rides,Steel,Magnetic Launch (LIM/LSM),Lap bar,Shuttle,1998,216.5328,70.214923,1299.1968,1
Colossos,Heide Park,Germany,86.9,Temporarily closed,Intamin,Wooden,Chain lift hill,Lap bar,Out & Back,2001,167.3208,68.35081,4921.2,0
Cheetah Hunt,Busch Gardens Tampa,United States,86.8,Operating,Intamin,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,Rocket,2011,101.7048,60.272987,4429.08,1
Harry Potter and the Escape from Gringotts,Universal Studios Florida,United States,86.8,Operating,Intamin,Steel,Magnetic Launch (LIM/LSM),Lap bar,Dark Ride,2014,NA,NA,NA,0
Mr. Freeze Reverse Blast,Six Flags St Louis,United States,86.8,Operating,Premier Rides,Steel,Magnetic Launch (LIM/LSM),Lap bar,NA,1998,216.5328,70.214923,1299.1968,1
Diamondback,Kings Island,United States,86.3,Operating,B&M,Steel,Chain lift hill,Lap bar,Hyper,2009,229.656,80.156859,5282.088,0
Galactica,Alton Towers,United Kingdom,86.2,Operating,B&M,Steel,Chain lift hill,Flying restraint,NA,2002,65.616,46.602825,2755.872,3
Fluch Von Novgorod,Hansa Park,Germany,86.1,Operating,Gerstlauer,Steel,"Chain lift hill, Magnetic Launch (LIM/LSM)",Shoulder harness,Euro-Fighter,2009,131.232,62.1371,NA,1
Goliath,La Ronde,Canada,85.8,Operating,B&M,Steel,Chain lift hill,Lap bar,Hyper,2006,173.8824,68.35081,4038.6648,0
Blue Fire,Europa Park,Germany,85.7,Operating,Mack,Steel,Magnetic Launch (LIM/LSM),Lap bar,Looper,2009,124.6704,62.1371,3464.5248,4
Beast,Kings Island,United States,85.7,Operating,Charlie Dinn,Wooden,Chain lift hill,Lap bar,NA,1979,111.5472,64.622584,7358.8344,0
Patriot,Worlds of Fun,United States,85.5,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2006,150.9168,59.651616,3080.6712,4
Incredible Hulk,Universal Studios Islands of Adventure,United States,85.5,Operating,B&M,Steel,Tire propelled launch,Shoulder harness,Looper,NA,108.2664,66.486697,3697.4616,7
Kumba,Busch Gardens Tampa,United States,85.4,Operating,B&M,Steel,Chain lift hill,Shoulder harness,Looper,1993,141.0744,59.651616,3969.768,7
Baron 1898,Efteling,Netherlands,85.3,Operating,B&M,Steel,Chain lift hill,Shoulder harness,Dive,2015,124.6704,55.92339,1640.4,2
Medusa,Six Flags Discovery Kingdom,United States,85.2,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2000,150.9168,65.243955,3936.96,7
Incredicoaster,Disney California Adventure,United States,85.2,Operating,Intamin,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,Looper,2001,108.2664,54.680648,6069.48,1
Mine Blower,Fun Spot Kissimmee,United States,84.9,Operating,Gravity Group,Wooden,Chain lift hill,Lap bar,NA,2017,82.02,48.466938,2289.9984,1
Lost Gravity,Walibi Holland,Netherlands,84.9,Operating,Mack,Steel,Chain lift hill,Lap bar,BigDipper,2016,104.9856,54.059277,2230.944,2
Stunt Fall,Parque Warner Madrid,Spain,84.7,Operating,Vekoma,Steel,Cable lift hill,Shoulder harness,Giant Inverted Boomerang,2002,190.2864,65.865326,1204.0536,3
Oblivion - The Black Hole,Gardaland,Italy,84.6,Operating,B&M,Steel,Chain lift hill,Shoulder harness,Dive,2015,141.0744,62.1371,1856.9328,2
PowderKeg,Silver Dollar City,United States,84.3,Operating,S&S,Steel,"Chain lift hill, Compressed air launch",Lap bar,Air Powered,NA,98.424,62.1371,3503.8944,0
Raptor,Gardaland,Italy,84.2,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2011,108.2664,55.92339,2526.216,3
Wildfire,Silver Dollar City,United States,84.2,Operating,B&M,Steel,Chain lift hill,Shoulder harness,Looper,NA,121.3896,65.865326,3074.1096,5
Verbolten,Busch Gardens Williamsburg,United States,84.1,Operating,Zierer,Steel,Magnetic Launch (LIM/LSM),Lap bar,Free Fall,2012,NA,52.816535,2834.6112,0
Hair Raiser,Ocean Park,China,84.1,Operating,B&M,Steel,Chain lift hill,Shoulder harness,Looper,NA,114.828,55.92339,2788.68,4
Expedition Everest,Disney's Animal Kingdom,United States,84,Operating,Vekoma,Steel,Chain lift hill,Lap bar,Mine Train,2006,111.5472,49.70968,4399.5528,0
Star Trek: Operation Enterprise,Movie Park Germany,Germany,83.9,Operating,Mack,Steel,Magnetic Launch (LIM/LSM),Lap bar,Looper,2017,147.636,55.92339,2362.176,3
Revenge of the Mummy,Universal Studios Singapore,Singapore,83.9,Operating,Premier Rides,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,NA,2010,NA,44.738712,2198.136,0
Monster,Adventureland,United States,83.8,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,Infinity,2016,134.5128,65.243955,2499.9696,5
El Toro,Freizeitpark Plohn,Germany,83.8,Operating,GCI,Wooden,Chain lift hill,Lap bar,Twister,2009,91.8624,46.602825,2460.6,0
Olympia looping,Foire,N/A,83.5,Operating,Schwarzkopf,Steel,Booster wheel lift hill,Shoulder harness,Looper,1989,124.6704,49.70968,4101,5
Kraken,SeaWorld Orlando,United States,83.5,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2000,150.9168,65.243955,4176.4584,7
Karacho,Tripsdrill,Germany,83.5,Operating,Gerstlauer,Steel,Magnetic Launch (LIM/LSM),Lap bar,Infinity,2013,104.9856,62.1371,2296.56,0
Oblivion,Alton Towers,United Kingdom,83.2,Operating,B&M,Steel,Chain lift hill,Shoulder harness,Dive,1998,65.616,68.35081,1220.4576,0
"Volcano, the Blast Coaster",Kings Dominion,United States,83.2,Temporarily closed,Intamin,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,NA,1998,154.1976,69.593552,2755.872,4
Intimidator,Carowinds,United States,83.2,Operating,B&M,Steel,NA,Lap bar,Hyper,2010,232.9368,74.56452,5314.896,0
Big Grizzly Mountain Runaway Mine Cars,Hong Kong Disneyland,China,83,Operating,Vekoma,Steel,"Chain lift hill, Magnetic Launch (LIM/LSM)",Lap bar,Mine Train,2012,NA,34.796776,3608.88,0
The Swarm,Thorpe Park,United Kingdom,82.8,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2012,127.9512,NA,2542.62,4
Formuła,Energylandia,Poland,82.7,Operating,Vekoma,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,Looper,NA,82.02,49.088309,1837.248,3
Formula Rossa,Ferrari World,United Arab Emirates,82.7,Operating,Intamin,Steel,Hydraulic cable launch,Lap bar,NA,2010,170.6016,149.12904,6561.6,0
Raptor,Cedar Point,United States,82.5,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1994,137.7936,57.166132,3789.324,6
Silverstar,Europa Park,Germany,82.4,Operating,B&M,Steel,Chain lift hill,Lap bar,"Hyper, Out & Back",NA,239.4984,78.914117,5314.896,0
Boulder Dash,Lake Compounce,United States,82.4,Operating,CCI,Wooden,Chain lift hill,Lap bar,Out & Back,2000,114.828,60.272987,4724.352,0
Leviathan,Canada's Wonderland,Canada,82,Operating,B&M,Steel,Chain lift hill,Lap bar,"Giga, Hyper",2012,305.1144,91.962908,5485.4976,0
Dragon Khan,Port Aventura,Spain,81.9,Operating,B&M,Steel,Chain lift hill,Shoulder harness,Looper,1995,147.636,65.243955,4166.616,8
Gold Rush,Attractiepark Slagharen,Netherlands,81.9,Operating,Gerstlauer,Steel,Magnetic Launch (LIM/LSM),Lap bar,Infinity,2017,108.2664,55.92339,1312.32,2
Yukon Quad,Le Pal,France,81.6,Operating,Intamin,Steel,Tire propelled launch,Lap bar,Family Launch Coaster,2018,39.3696,52.816535,3280.8,0
Hollywood Dream : The Ride,Universal Studios Japan,Japan,81.5,Operating,B&M,Steel,Chain lift hill,Lap bar,Megacoaster,2007,144.3552,55.92339,3936.96,0
Flug der Dämonen,Heide Park,Germany,81.5,Operating,B&M,Steel,Chain lift hill,Flying restraint,NA,2014,164.04,62.1371,2532.7776,5
Joris en de Draak (Vuur),Efteling,Netherlands,81.4,Operating,GCI,Wooden,Chain lift hill,Lap bar,Twister,2010,72.1776,46.602825,2585.2704,0
Dragon Challenge : Chinese Fireball,Universal Studios Islands of Adventure,United States,81.4,Definitely closed,B&M,Steel,Chain lift hill,Shoulder harness,NA,1999,124.6704,60.272987,3198.78,5
Flight Deck,California's Great America ,United States,81.4,Operating,B&M,Steel,Chain lift hill,Lap bar,NA,1993,101.7048,50.331051,2260.4712,3
The Smiler,Alton Towers,United Kingdom,81.3,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,Infinity,2013,98.424,52.816535,3838.536,14
Wild Eagle,Dollywood,United States,81.1,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2012,209.9712,60.894358,3126.6024,4
Joris en de Draak (Water),Efteling,Netherlands,80.3,Operating,GCI,Wooden,Chain lift hill,Lap bar,Twister,2010,72.1776,46.602825,2585.2704,0
Shock,Rainbow MagicLand,Italy,80.3,Operating,Maurer,Steel,Magnetic Launch (LIM/LSM),Lap bar,Looper,2011,114.828,62.1371,2460.6,1
Superman - Ride Of Steel,Six Flags America,United States,80.2,Operating,Intamin,Steel,Chain lift hill,Lap bar,Megacoaster,2000,196.848,72.700407,5347.704,0
Timber,Walibi Rhône Alpes,France,79.2,Operating,Gravity Group,Wooden,Chain lift hill,Lap bar,Twister,2016,55.7736,40.389115,1463.2368,0
Lisebergbanan,Liseberg,Sweden,79,Operating,Schwarzkopf,Steel,Chain lift hill,Lap bar,Terrain,1987,147.636,49.70968,5078.6784,0
Silver Bullet,Knott's Berry Farm,United States,79,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2004,147.636,55.302019,3126.6024,6
Anubis,Plopsaland,Belgium,78.9,Operating,Gerstlauer,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,Looper,NA,111.5472,55.92339,1968.48,3
Great Bear,Hersheypark,United States,78.9,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1998,88.5816,57.787503,2798.5224,4
Rutschebanen,Tivoli Gardens,Denmark,78.4,Operating,L.A. Thompson Scenic Railway,Wooden,Cable lift hill,Lap bar,Out & Back,NA,42.6504,31.06855,2362.176,0
Hangtime,Knott's Berry Farm,United States,78.4,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,"Looper, Infinity",NA,150.9168,57.166132,2198.136,4
Thunder dolphin,Tokyo dome city,Japan,78.3,Operating,Intamin,Steel,Cable lift hill,Lap bar,Hyper,2003,262.464,80.77823,3510.456,0
Inferno,CineCittà World,Italy,78.3,Operating,Intamin,Steel,NA,None,"Family, Free Fall",NA,65.616,NA,1499.3256,0
Dominator,Kings Dominion,United States,78.1,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2008,157.4784,65.243955,4209.2664,5
Fahrenheit,Hersheypark,United States,78.1,Operating,Intamin,Steel,Chain lift hill,Lap bar,Looper,2008,121.3896,57.787503,2700.0984,6
The Voyage,Holiday World,United States,77.8,Operating,Gravity Group,Wooden,Chain lift hill,Lap bar,Twister,2006,160.7592,67.108068,6440.2104,0
Wood Express,Parc Saint Paul,France,77.6,Operating,Gravity Group,Hybrid,Chain lift hill,Lap bar,"Twister, Family",2018,49.212,37.903631,1571.5032,0
Dragon Challenge : Hungarian Horntail,Universal Studios Islands of Adventure,United States,77.4,Definitely closed,B&M,Steel,Chain lift hill,Shoulder harness,NA,1999,124.6704,55.302019,3198.78,5
Altair,CineCittà World,Italy,77.3,Operating,Intamin,NA,NA,None,NA,2014,108.2664,52.816535,2870.7,0
Pulsar,Walibi Belgium,Belgium,77.2,Operating,Mack,Steel,Magnetic Launch (LIM/LSM),Lap bar,Shuttle,NA,147.636,62.1371,711.9336,0
Krake,Heide Park,Germany,77,Operating,B&M,Steel,Chain lift hill,Shoulder harness,Dive,2011,134.5128,NA,1561.6608,1
Batman : Arkham Asylum,Parque Warner Madrid,Spain,76.9,Operating,B&M,Steel,Chain lift hill,Shoulder harness,Batman Inverted Coaster,2002,104.9856,49.70968,2700.0984,5
Superman - Ultimate Flight,Six Flags Great Adventure,United States,76.7,Operating,B&M,Steel,Chain lift hill,Flying restraint,NA,2003,104.9856,50.952422,2759.1528,2
Banshee,Kings Island,United States,76.5,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2014,167.3208,68.35081,4133.808,7
Dæmonen,Tivoli Gardens,Denmark,76.3,Operating,B&M,Steel,Chain lift hill,Shoulder harness,Looper,NA,91.8624,47.845567,1850.3712,3
Bizarro,Six Flags Great Adventure,United States,76.1,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1999,141.0744,60.894358,3982.8912,7
Twister,Gröna Lund,Sweden,76.1,Operating,Gravity Group,Wooden,Chain lift hill,Lap bar,Twister,2011,49.212,37.903631,1574.784,0
Megafobia,Oakwood,United Kingdom,76,Operating,CCI,Wooden,Chain lift hill,Lap bar,Twister,1996,85.3008,47.845567,2956.0008,0
Wild Mouse,Blackpool Pleasure Beach,United Kingdom,76,Definitely closed,Unknown,Wooden,Chain lift hill,Seatbelt,Wild Mouse,1958,NA,NA,1279.512,0
Sky Scream,Holiday Park,Germany,75.5,Operating,Premier Rides,Steel,Magnetic Launch (LIM/LSM),Lap bar,"Looper, Sky Rocket",2014,150.9168,62.1371,853.008,1
Thunderbird,PowerPark,Finland,75.3,Operating,GCI,Wooden,Chain lift hill,Lap bar,Twister,2006,88.5816,46.602825,2788.68,0
Wooden Warrior,Quassy Amusement Park,United States,75,Operating,Gravity Group,Wooden,Chain lift hill,Lap bar,Twister,2011,36.0888,34.796776,1240.1424,0
Lynet,Farup Sommerland,Denmark,75,Operating,Gerstlauer,Steel,Hydraulic cable launch,Shoulder harness,Looper,2008,65.616,49.70968,1771.632,2
X-Flight,Six Flags Great America,United States,75,Operating,B&M,Steel,Chain lift hill,Flying restraint,NA,2012,121.3896,55.92339,3001.932,5
Superman - Ultimate Flight,Six Flags Great America,United States,74.9,Operating,B&M,Steel,Chain lift hill,Flying restraint,NA,2003,104.9856,50.952422,2798.5224,2
Tornado,Särkänniemi Amusement Park,Finland,74.6,Operating,Intamin,Steel,Chain lift hill,Shoulder harness,NA,2001,82.02,46.602825,2296.56,5
Tennessee Tornado,Dollywood,United States,74.5,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,Looper,1999,164.04,62.758471,2683.6944,3
White Lightning,Fun Spot America,United States,74.4,Operating,GCI,Wooden,Chain lift hill,Lap bar,Out & Back,2013,75.4584,46.602825,1968.48,0
Phantom's Revenge,Kennywood,United States,74.3,Operating,Arrow,Steel,Chain lift hill,Lap bar,Hyper,1991,229.656,82.020972,3198.78,0
Pegase Express,Parc Asterix,France,74.2,Operating,Gerstlauer,Steel,"Chain lift hill, Booster wheel lift hill, Tire propelled launch",Lap bar,NA,2017,68.8968,32.311292,3044.5824,0
Heidi the Ride,Plopsaland,Belgium,74.2,Operating,GCI,Wooden,Chain lift hill,Lap bar,"Out & Back, Family",2017,72.1776,43.49597,2034.096,0
