name,park,city,state,country,region,construction,type,year_opened,height_feet,speed_mph,length_feet,number_of_inversions,drop_feet,g_force,vertical_angle_degrees,duration_sec
Big Thunder Mountain,Disneyland Resort Paris,Marne la Vallee,Ile-de-France,France,Europe,Steel,Sit Down,1992,72.2,40.4,4921.3,0,39.3,NA,NA,14160
Big Thunder Mountain Railroad,Disneyland,Anaheim,California,United States,North America,Steel,Sit Down,1979,104,28,2671,0,NA,NA,NA,10800
Bizarro,Six Flags Great Adventure,Jackson,New Jersey,United States,North America,Steel,Sit Down,1999,142,61,3985,7,NA,NA,NA,8400
Black Mamba,Phantasialand,Bruhl,North Rhine-Westphalia,Germany,Europe,Steel,Inverted,2006,85.3,49.7,2519.7,4,88.6,4,NA,NA
blue fire Megacoaster,Europa Park,Rust,Baden Wuerttemberg,Germany,Europe,Steel,Sit Down,2009,124.7,62.1,3464.5,4,NA,3.8,NA,9e3
Blue Hawk,Six Flags Over Georgia,Austell,Georgia,United States,North America,Steel,Sit Down,1992,122,52,2742,5,NA,NA,NA,4800
Blue Streak,Cedar Point,Sandusky,Ohio,United States,North America,Wood,Sit Down,1964,78,40,2558,0,72,NA,NA,6300
Boardwalk Bullet,Kemah Boardwalk,Kemah,Texas,United States,North America,Wood,Sit Down,2007,96,51,3236,0,92,NA,56,NA
Bocaraca,Parque de Diversiones,La Uruca,San Jose,Costa Rica,Central America,Steel,Sit Down,2005,64,37.3,1148.3,2,NA,NA,NA,NA
Boomerang,Six Flags Mexico,Mexico City,Mexico City,Mexico,Central America,Steel,Sit Down,1988,116.5,47,935,3,NA,5.2,NA,6480
Boomerang,Walibi Rhone-Alpes,Les Avenieres,Auvergne-Rhone-Alpes,France,Europe,Steel,Sit Down,1988,116.5,47,935,3,NA,5.2,NA,6480
Boomerang,Fantasilandia,Santiago,Metropolitan Region,Chile,South America,Steel,Sit Down,1996,116.5,47,935,3,NA,5.2,NA,6480
Boomerang,Parque de la Costa,Tigre,Buenos Aires,Argentina,South America,Steel,Sit Down,1998,116.5,47,935,3,NA,5.2,NA,6480
Boomerang,Elitch Gardens,Denver,Colorado,United States,North America,Steel,Sit Down,1999,116.5,47,935,3,NA,5.2,NA,6480
Boomerang,Six Flags Fiesta Texas,San Antonio,Texas,United States,North America,Steel,Sit Down,1999,116.5,47,935,3,NA,5.2,NA,6480
Boomerang,Freizeit-Land Geiselwind,Geiselwind,Bavaria,Germany,Europe,Steel,Sit Down,2000,116.5,47,935,3,NA,5.2,NA,6480
Boomerang,Worlds of Fun,Kansas City,Missouri,United States,North America,Steel,Sit Down,2000,116.5,47,935,3,NA,5.2,NA,6480
Boomerang,Six Flags St. Louis,Eureka,Missouri,United States,North America,Steel,Sit Down,2013,116.5,47,935,3,NA,5.2,NA,6480
Boomerang Coast to Coaster,Six Flags Discovery Kingdom,Vallejo,California,United States,North America,Steel,Sit Down,1998,116.5,47,935,3,NA,5.2,NA,6480
Boss,Six Flags St. Louis,Eureka,Missouri,United States,North America,Wood,Sit Down,2000,122,66.3,4631,0,150,NA,52,NA
Boulder Dash,Lake Compounce,Bristol,Connecticut,United States,North America,Wood,Sit Down,2000,110,60,4725,0,115,NA,59,9e3
Bullet Coaster,Happy Valley,Nanshan,"Shenzhen, Guanagdong",China,Asia,Steel,Sit Down,2012,196.8,83,NA,0,221.2,5.2,NA,NA
Cannibal,Lagoon,Farmington,Utah,United States,North America,Steel,Sit Down,2015,208,70,2735,4,NA,NA,116,9e3
Cedar Creek Mine Ride,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Steel,1969,48,42,2540,0,NA,NA,NA,9720
Coaster Express,Parque Warner Madrid,San Martin de la Vega,Madrid,Spain,Europe,Wood,Sit Down,2002,120,49.7,4574,0,120,NA,NA,7200
Coaster Thrill Ride,Puyallup Fair,Puyallup,Washington,United States,North America,Wood,Sit Down,1935,55,50,2650,0,NA,NA,NA,6300
Coaster Through the Clouds,Nanchang Wanda Theme Park,Xinjian,"Nanchang, Jiangxi",China,Asia,Steel,Sit Down,2016,242.8,84.5,5105,0,255.9,NA,NA,15120
Colorado Adventure,Phantasialand,Bruhl,North Rhine-Westphalia,Germany,Europe,Steel,Sit Down,1996,85.3,31.1,4199.5,0,NA,NA,NA,10500
Colossus,Thorpe Park,Chertsey,"Surrey, England",United Kingdom,Europe,Steel,Sit Down,2002,98.4,45,2788.8,10,NA,NA,NA,5520
Comet,Walygator Parc,Maizieres-les-Metz,Lorraine,France,Europe,Steel,Sit Down,1989,78.7,40.4,1935.7,3,NA,NA,NA,4500
Corkscrew,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Steel,1976,85,48,2050,3,NA,NA,NA,7200
Corkscrew,Valleyfair!,Shakopee,Minnesota,United States,North America,Steel,Sit Down,2005,85,50,1950,3,NA,NA,NA,5400
Crazy Bird,Happy Valley,Dongli,Tianjin,China,Asia,Steel,Sit Down,2013,98.4,NA,1279.5,2,98,NA,120,NA
Crazy Coaster,Loca Joy Holiday Theme Park,Yongchuan,Chongqing,China,Asia,Steel,Sit Down,2013,108.3,52.8,2870.8,10,NA,NA,NA,NA
Cyclone,Lakeside Amusement Park,Denver,Colorado,United States,North America,Wood,Sit Down,1940,80,55,2800,0,80,NA,50,7200
Demon,California's Great America,Santa Clara,California,United States,North America,Steel,Sit Down,1976,102,50,2130,4,90,NA,54,6300
Demon,Six Flags Great America,Gurnee,Illinois,United States,North America,Steel,Sit Down,1976,103.7,50,2130,4,90,NA,54,6300
Desafio,Parque de la Costa,Tigre,Buenos Aires,Argentina,South America,Steel,Inverted,1999,109.3,49.7,2260.5,5,NA,NA,NA,5760
Desert Race,Heide-Park Soltau,Soltau,Lower Saxony,Germany,Europe,Steel,Sit Down,2007,62.3,62.1,2132.6,0,NA,NA,NA,2940
Desperado,Buffalo Bill's Resort & Casino,Primm,Nevada,United States,North America,Steel,Sit Down,2005,209,80,5843,0,225,4,60,9780
Diamondback,Kings Island,Kings Mills,Ohio,United States,North America,Steel,Sit Down,2009,230,80,5282,0,215,NA,NA,10800
Dinoconda,China Dinosaurs Park,Xinbei,"Changzhou, Jiangsu",China,Asia,Steel,Wing,2012,226.4,78.3,3444.9,3,NA,NA,NA,NA
Do-Dodonpa,Fuji-Q Highland,Fujiyoshida,Yamanashi,Japan,Asia,Steel,Sit Down,2001,160.8,111.8,4081.3,1,NA,NA,NA,NA
Doble Loop,Salitre Magico,Bogota,Cundinamarca,Colombia,South America,Steel,Sit Down,2004,59.1,56,2822,2,NA,NA,NA,NA
Dragon Khan,PortAventura Park,Salou,Tarragona,Spain,Europe,Steel,Sit Down,1995,148,65,4165,8,161,NA,NA,6300
Dragon Mountain,Marineland Theme Park,Niagra Falls,Ontario,Canada,North America,Steel,Sit Down,1993,186,50,5500,4,NA,NA,NA,12600
Dragon's Run,Dragon Park,Ha Long,Quang Ninh,Vietnam,Asia,Steel,Sit Down,2017,150,65,3738,6,NA,NA,NA,NA
Eejanaika,Fuji-Q Highland,Fujiyoshida,Yamanashi,Japan,Asia,Steel,Wing,2006,249.3,78.3,3782.8,3,NA,NA,NA,7800
El Toro,Six Flags Great Adventure,Jackson,New Jersey,United States,North America,Wood,Sit Down,2006,181,70,4400,0,176,NA,76,6120
El Toro,Freizeitpark Plohn,Lengenfeld,Saxony,Germany,Europe,Wood,Sit Down,2009,80.5,45.6,2379,0,NA,NA,NA,NA
Eurosat Can Can Coaster,Europa Park,Rust,Baden Wuerttemberg,Germany,Europe,Steel,Sit Down,1989,83.7,37.3,3024.8,0,NA,4,NA,11880
Expedition GeForce,Holiday Park,Hassloch,Rhineland-Palatinate,Germany,Europe,Steel,Sit Down,2001,173.9,74.6,4002.6,0,NA,4.5,82,4500
Extreme Rusher,Happy Valley,Chaoyang,Beijing,China,Asia,Steel,Sit Down,2011,170.6,83,2788.8,0,196.8,NA,NA,NA
Fahrenheit,Hersheypark,Hershey,Pennsylvania,United States,North America,Steel,Sit Down,2008,121,58,2700,6,NA,NA,97,5100
Firehawk,Kings Island,Kings Mills,Ohio,United States,North America,Steel,Flying,2007,115,50,3340,5,NA,4.3,NA,7800
Firewhip,Beto Carrero World,Penha,Santa Catarina,Brazil,South America,Steel,Inverted,2008,109.3,49.7,2260.5,5,NA,NA,NA,5760
Flash,Lewa Adventure,Jingyang,"Xianyang,Shaanxi",China,Asia,Steel,Sit Down,2016,200.2,71.5,4176.5,2,190.3,4.2,NA,7680
Flashback,Six Flags New England,Agawam,Massachusetts,United States,North America,Steel,Sit Down,2000,116.5,47,935,3,NA,5.2,NA,6480
Flight Deck,California's Great America,Santa Clara,California,United States,North America,Steel,Inverted,1993,102,50,2260,3,91,NA,NA,8760
Flight Deck,Canada's Wonderland,Vaughan,Onterio,Canada,North America,Steel,Inverted,1995,109.3,49.7,2260.5,5,NA,NA,NA,5280
Flight of Fear,Kings Dominion,Doswell,Virginia,United States,North America,Steel,Sit Down,1996,74.2,54,2705,4,NA,4.5,NA,8640
Flight of Fear,Kings Island,Kings Mills,Ohio,United States,North America,Steel,Sit Down,1996,74.2,54,2705,4,NA,4.5,NA,3600
Flight of the Phoenix,Harborland,Beilun,"Ningbo, Shejiang",China,Asia,Steel,Sit Down,2006,101.7,49.7,2723.1,8,NA,NA,NA,NA
Fluch von Novgorod,Hansa Park,Sierksdorf,Schleswig-Holstein,Germany,Europe,Steel,Sit Down,2009,131.3,62.1,2296.6,1,NA,NA,97,NA
Fly the Great Nor'Easter,Morey's Piers,Wildwood,New Jersey,United States,North America,Steel,Inverted,1995,115,55,2170,5,NA,NA,NA,7500
Flying Aces,Ferrari World Abu Dhabi,Abu Dhabi,Abu Dhabi,United Arab Emirates,Middle East,Steel,Sit Down,2016,206.7,74.6,4921.3,1,NA,5,NA,NA
Force One,Schwaben Park,Kaisersbach,Baden Wuerttemberg,Germany,Europe,Steel,Sit Down,2010,72.2,40.4,1738.8,0,NA,3.7,NA,2280
Formula Rossa,Ferrari World Abu Dhabi,Abu Dhabi,Abu Dhabi,United Arab Emirates,Middle East,Steel,Sit Down,2010,170.6,149.1,6561.7,0,NA,NA,NA,NA
Fujiyama,Fuji-Q Highland,Fujiyoshida,Yamanashi,Japan,Asia,Steel,Sit Down,1996,259.2,80.8,6708.7,0,229.7,3.5,65,12960
Full Throttle,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Sit Down,2013,160,70,2200,2,NA,4,NA,5400
Furius Baco,PortAventura Park,Salou,Tarragona,Spain,Europe,Steel,Wing,2007,46,83.9,2788.8,1,NA,4.7,NA,3300
Fury 325,Carowinds,Charlotte,North Carolina,United States,North America,Steel,Sit Down,2015,325,95,6602,0,320,NA,81,NA
Gao,Greenland,Arao,Kumamoto,Japan,Asia,Steel,Sit Down,1998,131.3,60.9,5457.7,0,NA,NA,NA,14160
GateKeeper,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Wing,2013,170,67,4164,6,164,NA,NA,9600
Gemini,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Sit Down,1978,125.3,60,3935,0,118,NA,NA,8400
GhostRider,Knott's Berry Farm,Buena Park,California,United States,North America,Wood,Sit Down,1998,118,56,4533,0,108,3.1,51,9600
Giant Dipper,Santa Cruz Beach Boardwalk,Santa Cruz,California,United States,North America,Wood,Sit Down,1924,70,55,2640,0,65,NA,NA,6720
Giant Dipper,Belmont Park,San Diego,California,United States,North America,Wood,Sit Down,1925,73,55,2600,0,NA,NA,NA,NA
Goliath,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Sit Down,2000,235,85,4500,0,255,NA,61,10800
Goliath,Six Flags Over Georgia,Austell,Georgia,United States,North America,Steel,Sit Down,2006,NA,70,4480,0,175,NA,NA,NA
Goliath,Six Flags Fiesta Texas,San Antonio,Texas,United States,North America,Steel,Inverted,2008,105,50,2693,5,80,NA,NA,7200
Goliath,Six Flags New England,Agawam,Massachusetts,United States,North America,Steel,Inverted,2012,191.6,65.6,1204,3,177,4.5,90,5520
Goliath,Six Flags Great America,Gurnee,Illinois,United States,North America,Wood,Sit Down,2014,165,72,3100,2,180,NA,85,NA
Goudurix,Parc Asterix,Plailly,Picardie,France,Europe,Steel,Sit Down,1989,118,56,3116.8,7,108,NA,NA,4800
Great White,SeaWorld San Antonio,San Antonio,Texas,United States,North America,Steel,Inverted,1997,108,50,2562,5,81.2,4.6,NA,7200
Green Lantern Coaster,Warner Bros. Movie World,Gold Coast,Queensland,Australia,Oceana,Steel,Sit Down,2011,108.3,41,1601.1,2,NA,NA,NA,NA
Griffon,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,North America,Steel,Sit Down,2007,205,71,3108,2,NA,4,90,10800
Grizzly,California's Great America,Santa Clara,California,United States,North America,Wood,Sit Down,1986,91,55,3250,0,NA,NA,NA,9600
Hades 360,Mt. Olympus Water & Theme Park,Wisconsin Dells,Wisconsin,United States,North America,Wood,Sit Down,2005,136,60,4746,1,140,NA,65,NA
Half Pipe,Elitch Gardens,Denver,Colorado,United States,North America,Steel,Sit Down,2004,98.4,43.5,229.7,0,NA,4.5,NA,7200
Happy Angel,Wanda Theme Park,Harbin,Heilongjiang,China,Asia,Steel,Inverted,2017,NA,54.1,NA,6,NA,NA,NA,NA
HeiBe Fahrt,Wild- und Freizeitpark Klotten/Cochem,Klotten,Rhineland-Palatinate,Germany,Europe,Steel,Sit Down,2004,57.4,34.2,1745.4,0,NA,NA,46,4800
Helix,Liseberg,Gothenburg,Vastra Gotaland,Sweden,Europe,Steel,Sit Down,2014,134.5,62.1,4530.8,7,NA,4.3,NA,7800
Hydra the Revenge,Dorney Park & Wildwater Kingdom,Allentown,Pennsylvania,United States,North America,Steel,Sit Down,2005,95,53,3198,7,105,NA,68,9300
Hyper Coaster,Land of Legends Theme Park,Antalya,Antalya,Turkey,Europe,Steel,Sit Down,2018,200.2,71.5,4176.5,2,190.3,4.2,NA,NA
Hyperion,Energylandia,Zator,Malopolskie,Poland,Europe,Steel,Sit Down,2018,252.6,88.2,4757.2,1,269,4.8,85,NA
Incredible Hulk,Universal Studios Islands of Adventure,Orlando,Florida,United States,North America,Steel,Sit Down,1999,110,67,3700,7,104.9,4,NA,8100
Incredicoaster,Disney California Adventure Park,Anaheim,California,United States,North America,Steel,Sit Down,2001,120,55,6072,1,108,NA,NA,9360
Intimidator,Carowinds,Charlotte,North Carolina,United States,North America,Steel,Sit Down,2010,232,75,5316,0,211,NA,74,12780
Intimidator 305,Kings Dominion,Doswell,Virginia,United States,North America,Steel,Sit Down,2010,305,90,5100,0,300,NA,85,10800
Invertigo,Kings Island,Kings Mills,Ohio,United States,North America,Steel,Sit Down,1999,131.3,50,1013.8,3,NA,5,NA,5400
Iron Dragon,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Suspended,1987,76,40,2800,0,NA,NA,NA,7200
Iron Rattler,Six Flags Fiesta Texas,San Antonio,Texas,United States,North America,Steel,Sit Down,2013,179,70,3266,1,171,NA,81,NA
iSpeed,Mirabilandia,Savio,Emilia-Romagna,Italy,Europe,Steel,Sit Down,2009,180.4,68.4,3215.2,2,NA,NA,NA,NA
Joker,Six Flags Great America,Gurnee,Illinois,United States,North America,Steel,Wing,2012,120,38,1019,5,54,NA,78,4500
Joker,Six Flags Discovery Kingdom,Vallejo,California,United States,North America,Steel,Sit Down,2016,100,53,3200,3,NA,NA,NA,NA
Journey to Atlantis,SeaWorld San Diego,San Diego,California,United States,North America,Steel,Sit Down,2004,95,42,NA,0,70,3,NA,19500
Journey to Atlantis,SeaWorld San Antonio,San Antonio,Texas,United States,North America,Steel,Sit Down,2007,100,NA,780,0,NA,NA,NA,12600
Judge Roy Scream,Six Flags Over Texas,Arlington,Texas,United States,North America,Wood,Sit Down,1980,71,45,2670,0,65,NA,NA,5400
Jungle Trailblazer,Fantawild Dreamland,Shifeng,"Zhuzhou, Hunan",China,Asia,Wood,Sit Down,2016,111.6,54.1,3989.5,0,91.8,NA,60,5400
Jupiter,Kijima Kogen,Beppu,Oita,Japan,Asia,Wood,Sit Down,1992,138,57,5249.3,0,NA,NA,45,9240
Katapul,Hopi Hari,Vinhedo,Sao Palo,Brazil,South America,Steel,Sit Down,1999,137.8,53,722,1,NA,NA,70,NA
Katun,Mirabilandia,Savio,Emilia-Romagna,Italy,Europe,Steel,Inverted,2000,164.1,64.6,3937,6,147.7,4,NA,8520
Kawazemi,Tobu Zoo Park,Minami,Saitama,Japan,Asia,Steel,Sit Down,2008,101.7,52.8,2477,0,98.4,NA,67.4,3600
Kingda Ka,Six Flags Great Adventure,Jackson,New Jersey,United States,North America,Steel,Sit Down,2005,456,128,3118,0,418,NA,90,1680
Kong,Six Flags Discovery Kingdom,Vallejo,California,United States,North America,Steel,Sit Down,1998,109.3,49.7,2260.5,5,NA,NA,NA,5760
Kraken,SeaWorld Orlando,Orlando,Florida,United States,North America,Steel,Sit Down,2000,149,65,4177,7,144,NA,NA,7320
Kumba,Busch Gardens Tampa,Tampa,Florida,United States,North America,Steel,Sit Down,1993,143,60,3978,7,135,3.8,NA,10440
Legend,Holiday World,Santa Claus,Indiana,United States,North America,Wood,Sit Down,2000,99,59,4042,0,NA,NA,NA,7200
Leviathan,Canada's Wonderland,Vaughan,Onterio,Canada,North America,Steel,Sit Down,2012,306,92,5486,0,306,NA,80,12480
Lightning Rod,Dollywood,Pigeon Forge,Tennessee,United States,North America,Wood,Sit Down,2016,207,73,3800,0,165,3.5,73,NA
Limit,Heide-Park Soltau,Soltau,Lower Saxony,Germany,Europe,Steel,Inverted,1999,109.3,49.7,2260.5,5,NA,NA,NA,5760
Magnum XL-200,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Sit Down,1989,205,72,5106,0,194.7,NA,60,7200
Mako,SeaWorld Orlando,Orlando,Florida,United States,North America,Steel,Sit Down,2016,200,73,4760,0,200,NA,NA,NA
Mamba,Worlds of Fun,Kansas City,Missouri,United States,North America,Steel,Sit Down,1998,205,75,5600,0,205,3.5,NA,10800
Mammut,Erlebnispark Tripsdrill,Cleebronn,Baden Wuerttemberg,Germany,Europe,Wood,Sit Down,2008,98.4,55.9,2821.5,0,NA,NA,NA,NA
Manta,SeaWorld Orlando,Orlando,Florida,United States,North America,Steel,Flying,2009,140,56,3359,4,113,NA,NA,9300
Manta,SeaWorld San Diego,San Diego,California,United States,North America,Steel,Sit Down,2012,30,43,2800,0,54,4,NA,7200
Maverick,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Sit Down,2007,105,70,4450,2,100,NA,95,9e3
Medusa,Six Flags Discovery Kingdom,Vallejo,California,United States,North America,Steel,Sit Down,2000,150,65,3937,7,150,4.5,NA,11700
Medusa Steel Coaster,Six Flags Mexico,Mexico City,Mexico City,Mexico,Central America,Steel,Sit Down,2009,98,58,3e3,3,NA,NA,NA,NA
Millennium Force,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Sit Down,2000,310,93,6595,0,300,NA,80,8400
Mind Eraser,Six Flags America,Upper Marlboro,Maryland,United States,North America,Steel,Inverted,1995,109.3,49.7,2260.5,5,NA,NA,NA,5760
Mind Eraser,Elitch Gardens,Denver,Colorado,United States,North America,Steel,Inverted,1997,109.3,49.7,2260.5,5,NA,NA,NA,5760
Mine Blower,Fun Spot America,Kissimmee,Florida,United States,North America,Wood,Sit Down,2017,83,45.8,2290,1,80.5,NA,65,NA
Monster,Walygator Parc,Maizieres-les-Metz,Lorraine,France,Europe,Steel,Inverted,2010,131.3,55.9,3937,6,NA,NA,NA,8880
Montana  Rusa,La Feria Chapultpec,Mexico City,Mexico,Mexico,Central America,Wood,Sit Down,1964,110,52.8,4e3,0,NA,NA,NA,NA
Montana Rusa,Salitre Magico,Bogota,Cundinamarca,Colombia,South America,Steel,Sit Down,2000,70,NA,1250,2,NA,NA,NA,4200
Montana Rusa,VulQano Park,Quito,Pichincha,Ecuador,South America,Steel,Sit Down,2005,36.1,NA,1197.5,1,NA,NA,NA,NA
Montezooma's Revenge,Knott's Berry Farm,Buena Park,California,United States,North America,Steel,Sit Down,1978,148,55,800,1,NA,NA,NA,2160
Montezum,Hopi Hari,Vinhedo,Sao Palo,Brazil,South America,Wood,Sit Down,1999,139.1,64,3380,0,NA,NA,NA,NA
Montu,Busch Gardens Tampa,Tampa,Florida,United States,North America,Steel,Inverted,1996,150,60,3983,7,128,3.8,50,10800
MP-Xpress,Movie Park Germany,Bottrop,North Rhine-Westphali,Germany,Europe,Steel,Inverted,2001,109.3,49.7,2260.5,5,NA,NA,NA,5760
Mr. Freeze Reverse Blast,Six Flags Over Texas,Arlington,Texas,United States,North America,Steel,Sit Down,1998,218,70,1300,1,NA,NA,NA,NA
Mr. Freeze Reverse Blast,Six Flags St. Louis,Eureka,Missouri,United States,North America,Steel,Sit Down,1998,218,70,1300,1,NA,NA,NA,NA
Mystic Timbers,Kings Island,Mason,Ohio,United States,North America,Wood,Sit Down,2017,109.2,53,3265,0,98,NA,NA,7200
Nemesis,Alton Towers,Alton,"Staffordshire, England",United Kingdom,Europe,Steel,Inverted,1994,42.6,50,2349,4,104,3.5,NA,4800
Nemisis Inferno,Thorpe Park,Chertsey,"Surrey, England",United Kingdom,Europe,Steel,Inverted,2003,95.2,47.8,2460.7,4,NA,4.5,NA,6180
Nessie Superrollercoaster,Hansa Park,Sierksdorf,Schleswig-Holstein,Germany,Europe,Steel,Sit Down,1980,85.3,49.1,2431.1,1,NA,NA,NA,7800
New Revolution,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Sit Down,1976,113,55,3457,1,NA,4.9,NA,7920
New Texas Giant,Six Flags Over Texas,Arlington,Texas,United States,North America,Steel,Sit Down,2011,153,68.6,4200,0,147,NA,79,7200
Ninja,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Suspended,1988,60,55,2800,0,NA,NA,NA,5400
Nitro,Six Flags Great Adventure,Jackson,New Jersey,United States,North America,Steel,Sit Down,2001,230,80,5394,0,215,NA,NA,8400
Oblivion,Alton Towers,Alton,"Staffordshire, England",United Kingdom,Europe,Steel,Sit Down,1998,65,68,1222,0,180,4.5,87,4500
OCT Thrust SSC1000,Happy Valley,Hongshan,"Wuhan, Hubei",China,Asia,Steel,Sit Down,2014,196.8,83,NA,0,221.2,4.5,NA,NA
Outlaw Run,Silver Dollar City,Branson,Missouri,United States,North America,Wood,Sit Down,2013,107,68,2937,3,162,NA,81,5220
Pandemonium,Six Flags Fiesta Texas,San Antonio,Texas,United States,North America,Steel,Sit Down,2007,48,31,1351,0,NA,NA,NA,NA
Pandemonium,Six Flags Over Texas,Arlington,Texas,United States,North America,Steel,Sit Down,2008,53,31,1351,0,27,NA,NA,6660
Patriot,Worlds of Fun,Kansas City,Missouri,United States,North America,Steel,Inverted,2006,149,60,3081,4,123,NA,NA,8280
Phaethon,Gyeongju World,Gyeongju,Gyeongsangbuk-do,South Korea,Asia,Steel,Inverted,2007,147.7,55.9,3280.8,6,NA,NA,NA,8400
Phantom's Revenge,Kennywood,West Miflin,Pennsylvania,United States,North America,Steel,Sit Down,1991,160,85,3200,0,228,NA,NA,7020
