name,park,country,score,status,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length
New Texas Giant,Six flags Over Texas,United States,93.2,Operating,RMC,Hybrid,Lap bar,2011,Chain lift hill,NA,154.1976,0,65.243955,4199.424
Fenix,Toverland,Netherlands,92.8,Operating,B&M,Steel,Vest restraint,2018,Chain lift hill,NA,131.232,3,59.030245,2667.2904
Superman : the Ride,Six Flags New England,United States,92.8,Operating,Intamin,Steel,Lap bar,2e3,Chain lift hill,Megacoaster,206.6904,0,77.050004,5400.1968
Montu,Busch Gardens Tampa,United States,92.7,Operating,B&M,Steel,Shoulder harness,1996,Chain lift hill,NA,150.9168,7,59.651616,3982.8912
SheiKra,Busch Gardens Tampa,United States,92.5,Operating,B&M,Steel,Shoulder harness,2005,Chain lift hill,Dive,200.1288,1,70.214923,3188.9376
Xcelerator,Knott's Berry Farm,United States,92.4,Operating,Intamin,Steel,Lap bar,2002,Hydraulic cable launch,Rocket,203.4096,0,82.020972,2201.4168
Skyrush,Hersheypark,United States,92.4,Operating,Intamin,Steel,Shoulder harness,2012,Cable lift hill,Megacoaster,196.848,0,74.56452,3608.88
Tron Lightcycle Power Run,Shanghaï Disneyland,China,92.3,Operating,Vekoma,Steel,Shoulder harness,2016,Magnetic Launch (LIM/LSM),NA,78.7392,0,59.030245,3182.376
Afterburn,Carowinds,United States,92.2,Operating,B&M,Steel,Shoulder harness,1999,Chain lift hill,NA,111.5472,6,62.1371,2952.72
Tatsu,Six Flags Magic Mountain,United States,92.1,Operating,B&M,Steel,Flying restraint,2006,Chain lift hill,NA,170.6016,4,62.1371,3599.0376
Superman la Atraccion de Acero,Parque Warner Madrid,Spain,92,Operating,B&M,Steel,Shoulder harness,2002,Chain lift hill,NA,164.04,7,65.243955,3936.96
Kingda Ka,Six Flags Great Adventure,United States,91.9,Operating,Intamin,Steel,Shoulder harness,2005,Hydraulic cable launch,"Rocket, Strata",456.0312,0,128.002426,3116.76
Nitro,Six Flags Great Adventure,United States,91.6,Operating,B&M,Steel,Lap bar,2001,Chain lift hill,Hyper,229.656,0,79.535488,5393.6352
Thunderbird,Holiday World,United States,91.1,Operating,B&M,Steel,Shoulder harness,2015,Magnetic Launch (LIM/LSM),NA,141.0744,4,62.1371,3034.74
Manta,SeaWorld Orlando,United States,90.9,Operating,B&M,Steel,Flying restraint,2009,Chain lift hill,NA,141.0744,4,60.272987,3359.5392
Kawasemi,Tobu Zoo Park,Japan,90.8,Operating,Intamin,Steel,Unknown,2008,Cable lift hill,Megalite,104.9856,0,54.059277,2460.6
Piraten,Djurs Sommerland,Denmark,90.8,Operating,Intamin,Steel,Lap bar,2008,Chain lift hill,Megalite,104.9856,0,55.92339,2477.004
GateKeeper,Cedar Point,United States,90.5,Operating,B&M,Steel,Flying restraint,2013,Chain lift hill,NA,170.6016,6,67.108068,4163.3352
Black Mamba,Phantasialand,Germany,90.3,Operating,B&M,Steel,Shoulder harness,2006,Chain lift hill,NA,85.3008,4,49.70968,NA
Do-Dodonpa,Fuji-Q Highland,Japan,90.2,Operating,S&S,Steel,Lap bar,2001,Compressed air launch,Air Powered,170.6016,0,106.875812,3900.8712
The Monster,Walygator Parc,France,90.1,Operating,B&M,Steel,Shoulder harness,2010,Chain lift hill,NA,137.7936,6,57.166132,3936.96
Alpina Blitz,Nigloland,France,89.9,Operating,Mack,Steel,Lap bar,NA,Chain lift hill,Megacoaster,98.424,0,62.1371,2624.64
Alpengeist,Busch Gardens Williamsburg,United States,89.9,Operating,B&M,Steel,Shoulder harness,1997,Chain lift hill,NA,196.848,6,67.108068,NA
Troy,Toverland,Netherlands,89.5,Operating,GCI,Wooden,Lap bar,2007,Chain lift hill,Twister,114.828,0,NA,3280.8
Ravine Flyer II,Waldameer,United States,89.2,Operating,Gravity Group,Hybrid,Lap bar,2008,Chain lift hill,Twister,78.7392,0,56.544761,2900.2272
Icon,Blackpool Pleasure Beach,United Kingdom,89.1,Operating,Mack,Steel,Lap bar,2018,Magnetic Launch (LIM/LSM),Looper,88.5816,1,49.70968,3749.9544
Battlestar Galactica - CYLON,Universal Studios Singapore,Singapore,89,Operating,Vekoma,Steel,Shoulder harness,2010,Electrical lift hill,NA,137.7936,0,55.92339,NA
Stealth,Thorpe Park,United Kingdom,88.9,Operating,Intamin,Steel,Shoulder harness,2006,Hydraulic cable launch,Rocket,206.6904,0,83.885085,1312.32
Superman Krypton Coaster,Six Flags Fiesta Texas,United States,88.6,Operating,B&M,Steel,Shoulder harness,2e3,Chain lift hill,NA,167.3208,6,70.214923,4025.5416
Behemoth,Canada's Wonderland,Canada,88.5,Operating,B&M,Steel,Lap bar,2008,Chain lift hill,Hyper,229.656,0,77.050004,5318.1768
Wodan : Timbur Coaster,Europa Park,Germany,88.5,Operating,GCI,Wooden,Lap bar,2012,Chain lift hill,Twister,114.828,0,62.1371,3444.84
Red Force,Ferrari Land,Spain,88.3,Operating,Intamin,Steel,Lap bar,2017,Magnetic Launch (LIM/LSM),"Rocket, Strata",367.4496,0,114.953635,2887.104
Apollo's Chariot,Busch Gardens Williamsburg,United States,88,Operating,B&M,Steel,Lap bar,1999,Chain lift hill,Hyper,170.6016,0,73.321778,4881.8304
Full Throttle,Six Flags Magic Mountain,United States,88,Operating,Premier Rides,Steel,Lap bar,2013,Magnetic Launch (LIM/LSM),Launched Looping,157.4784,2,69.593552,2198.136
Storm Runner,Hersheypark,United States,88,Operating,Intamin,Steel,Shoulder harness,2004,Hydraulic cable launch,Rocket,183.7248,3,74.56452,2644.3248
Mystic Timbers,Kings Island,United States,87.8,Operating,GCI,Wooden,Lap bar,2017,Chain lift hill,Twister,108.2664,0,52.816535,3264.396
Junker,PowerPark,Finland,87.4,Operating,Gerstlauer,Infinity,Lap bar,2015,Magnetic Launch (LIM/LSM),NA,131.232,3,64.622584,2821.488
Revenge of the Mummy,Universal Studios Florida,United States,87.4,Operating,Premier Rides,Steel,Lap bar,2004,Magnetic Launch (LIM/LSM),Launched Indoor,45.9312,0,40.389115,2198.136
Talon,Dorney Park,United States,87.3,Operating,B&M,Steel,Shoulder harness,2001,Chain lift hill,NA,134.5128,4,57.787503,3116.76
Mr Freeze Reverse Blast,Six flags Over Texas,United States,87.1,Operating,Premier Rides,Steel,Lap bar,1998,Magnetic Launch (LIM/LSM),Shuttle,216.5328,1,70.214923,1299.1968
Colossos,Heide Park,Germany,86.9,Temporarily closed,Intamin,Wooden,Lap bar,2001,Chain lift hill,Out & Back,167.3208,0,68.35081,4921.2
Cheetah Hunt,Busch Gardens Tampa,United States,86.8,Operating,Intamin,Steel,Shoulder harness,2011,Magnetic Launch (LIM/LSM),Rocket,101.7048,1,60.272987,4429.08
Harry Potter and the Escape from Gringotts,Universal Studios Florida,United States,86.8,Operating,Intamin,Steel,Lap bar,2014,Magnetic Launch (LIM/LSM),Dark Ride,NA,0,NA,NA
Mr. Freeze Reverse Blast,Six Flags St Louis,United States,86.8,Operating,Premier Rides,Steel,Lap bar,1998,Magnetic Launch (LIM/LSM),NA,216.5328,1,70.214923,1299.1968
Diamondback,Kings Island,United States,86.3,Operating,B&M,Steel,Lap bar,2009,Chain lift hill,Hyper,229.656,0,80.156859,5282.088
Galactica,Alton Towers,United Kingdom,86.2,Operating,B&M,Steel,Flying restraint,2002,Chain lift hill,NA,65.616,3,46.602825,2755.872
Fluch Von Novgorod,Hansa Park,Germany,86.1,Operating,Gerstlauer,Steel,Shoulder harness,2009,"Chain lift hill, Magnetic Launch (LIM/LSM)",Euro-Fighter,131.232,1,62.1371,NA
Goliath,La Ronde,Canada,85.8,Operating,B&M,Steel,Lap bar,2006,Chain lift hill,Hyper,173.8824,0,68.35081,4038.6648
Blue Fire,Europa Park,Germany,85.7,Operating,Mack,Steel,Lap bar,2009,Magnetic Launch (LIM/LSM),Looper,124.6704,4,62.1371,3464.5248
Beast,Kings Island,United States,85.7,Operating,Charlie Dinn,Wooden,Lap bar,1979,Chain lift hill,NA,111.5472,0,64.622584,7358.8344
Patriot,Worlds of Fun,United States,85.5,Operating,B&M,Steel,Shoulder harness,2006,Chain lift hill,NA,150.9168,4,59.651616,3080.6712
Incredible Hulk,Universal Studios Islands of Adventure,United States,85.5,Operating,B&M,Steel,Shoulder harness,NA,Tire propelled launch,Looper,108.2664,7,66.486697,3697.4616
Kumba,Busch Gardens Tampa,United States,85.4,Operating,B&M,Steel,Shoulder harness,1993,Chain lift hill,Looper,141.0744,7,59.651616,3969.768
Baron 1898,Efteling,Netherlands,85.3,Operating,B&M,Steel,Shoulder harness,2015,Chain lift hill,Dive,124.6704,2,55.92339,1640.4
Medusa,Six Flags Discovery Kingdom,United States,85.2,Operating,B&M,Steel,Shoulder harness,2e3,Chain lift hill,NA,150.9168,7,65.243955,3936.96
Incredicoaster,Disney California Adventure,United States,85.2,Operating,Intamin,Steel,Shoulder harness,2001,Magnetic Launch (LIM/LSM),Looper,108.2664,1,54.680648,6069.48
Mine Blower,Fun Spot Kissimmee,United States,84.9,Operating,Gravity Group,Wooden,Lap bar,2017,Chain lift hill,NA,82.02,1,48.466938,2289.9984
Lost Gravity,Walibi Holland,Netherlands,84.9,Operating,Mack,Steel,Lap bar,2016,Chain lift hill,BigDipper,104.9856,2,54.059277,2230.944
Stunt Fall,Parque Warner Madrid,Spain,84.7,Operating,Vekoma,Steel,Shoulder harness,2002,Cable lift hill,Multielement Inverted Shuttle,190.2864,3,65.865326,1204.0536
Oblivion - The Black Hole,Gardaland,Italy,84.6,Operating,B&M,Steel,Shoulder harness,2015,Chain lift hill,Dive,141.0744,2,62.1371,1856.9328
PowderKeg,Silver Dollar City,United States,84.3,Operating,S&S,Steel,Lap bar,NA,"Chain lift hill, Compressed air launch",Air Powered,98.424,0,62.1371,3503.8944
Raptor,Gardaland,Italy,84.2,Operating,B&M,Steel,Shoulder harness,2011,Chain lift hill,NA,108.2664,3,55.92339,2526.216
Wildfire,Silver Dollar City,United States,84.2,Operating,B&M,Steel,Shoulder harness,NA,Chain lift hill,Looper,121.3896,5,65.865326,3074.1096
Verbolten,Busch Gardens Williamsburg,United States,84.1,Operating,Zierer,Steel,Lap bar,2012,Magnetic Launch (LIM/LSM),Launched,NA,0,52.816535,2834.6112
Hair Raiser,Ocean Park,China,84.1,Operating,B&M,Steel,Shoulder harness,NA,Chain lift hill,Looper,114.828,4,55.92339,2788.68
Expedition Everest,Disney's Animal Kingdom,United States,84,Operating,Vekoma,Steel,Lap bar,2006,Chain lift hill,Freeform Mine Train,111.5472,0,49.70968,4399.5528
Star Trek: Operation Enterprise,Movie Park Germany,Germany,83.9,Operating,Mack,Steel,Lap bar,2017,Magnetic Launch (LIM/LSM),Looper,147.636,3,55.92339,2362.176
Revenge of the Mummy,Universal Studios Singapore,Singapore,83.9,Operating,Premier Rides,Steel,Shoulder harness,2010,Magnetic Launch (LIM/LSM),Indoor Launched,45,0,44.738712,2198.136
Monster,Adventureland,United States,83.8,Operating,Gerstlauer,Steel,Lap bar,2016,Chain lift hill,Infinity,134.5128,5,65.243955,2499.9696
El Toro,Freizeitpark Plohn,Germany,83.8,Operating,GCI,Wooden,Lap bar,2009,Chain lift hill,Twister,91.8624,0,46.602825,2460.6
Olympia looping,Foire,N/A,83.5,Operating,Schwarzkopf,Steel,Shoulder harness,1989,Booster wheel lift hill,Looper,124.6704,5,49.70968,4101
Kraken,SeaWorld Orlando,United States,83.5,Operating,B&M,Steel,Shoulder harness,2e3,Chain lift hill,NA,150.9168,7,65.243955,4176.4584
Karacho,Tripsdrill,Germany,83.5,Operating,Gerstlauer,Steel,Lap bar,2013,Magnetic Launch (LIM/LSM),Infinity,104.9856,0,62.1371,2296.56
Oblivion,Alton Towers,United Kingdom,83.2,Operating,B&M,Steel,Shoulder harness,1998,Chain lift hill,Dive,65.616,0,68.35081,1220.4576
"Volcano, the Blast Coaster",Kings Dominion,United States,83.2,Temporarily closed,Intamin,Steel,Shoulder harness,1998,Magnetic Launch (LIM/LSM),NA,154.1976,4,69.593552,2755.872
Intimidator,Carowinds,United States,83.2,Operating,B&M,Steel,Lap bar,2010,NA,Hyper,232.9368,0,74.56452,5314.896
Big Grizzly Mountain Runaway Mine Cars,Hong Kong Disneyland,China,83,Operating,Vekoma,Steel,Lap bar,2012,"Chain lift hill, Magnetic Launch (LIM/LSM)",Mine Train,NA,0,34.796776,3608.88
The Swarm,Thorpe Park,United Kingdom,82.8,Operating,B&M,Steel,Shoulder harness,2012,Chain lift hill,NA,127.9512,4,NA,2542.62
Formuła,Energylandia,Poland,82.7,Operating,Vekoma,Steel,Shoulder harness,NA,Magnetic Launch (LIM/LSM),Looper,82.02,3,49.088309,1837.248
Formula Rossa,Ferrari World,United Arab Emirates,82.7,Operating,Intamin,Steel,Lap bar,2010,Hydraulic cable launch,Launched,170.6016,0,149.12904,6561.6
Raptor,Cedar Point,United States,82.5,Operating,B&M,Steel,Shoulder harness,1994,Chain lift hill,NA,137.7936,6,57.166132,3789.324
Silverstar,Europa Park,Germany,82.4,Operating,B&M,Steel,Lap bar,NA,Chain lift hill,"Hyper, Out & Back",239.4984,0,78.914117,5314.896
Boulder Dash,Lake Compounce,United States,82.4,Operating,CCI,Wooden,Lap bar,2e3,Chain lift hill,Out & Back,114.828,0,60.272987,4724.352
Leviathan,Canada's Wonderland,Canada,82,Operating,B&M,Steel,Lap bar,2012,Chain lift hill,"Giga, Hyper",305.1144,0,91.962908,5485.4976
Dragon Khan,Port Aventura,Spain,81.9,Operating,B&M,Steel,Shoulder harness,1995,Chain lift hill,Looper,147.636,8,65.243955,4166.616
Gold Rush,Attractiepark Slagharen,Netherlands,81.9,Operating,Gerstlauer,Steel,Lap bar,2017,Magnetic Launch (LIM/LSM),Infinity,108.2664,2,55.92339,1312.32
Yukon Quad,Le Pal,France,81.6,Operating,Intamin,Steel,Lap bar,2018,Tire propelled launch,Family Launch Coaster,39.3696,0,52.816535,3280.8
Hollywood Dream : The Ride,Universal Studios Japan,Japan,81.5,Operating,B&M,Steel,Lap bar,2007,Chain lift hill,Megacoaster,144.3552,0,55.92339,3936.96
Flug der Dämonen,Heide Park,Germany,81.5,Operating,B&M,Steel,Flying restraint,2014,Chain lift hill,NA,164.04,5,62.1371,2532.7776
Joris en de Draak (Vuur),Efteling,Netherlands,81.4,Operating,GCI,Wooden,Lap bar,2010,Chain lift hill,Twister,72.1776,0,46.602825,2585.2704
Dragon Challenge : Chinese Fireball,Universal Studios Islands of Adventure,United States,81.4,Definitely closed,B&M,Steel,Shoulder harness,1999,Chain lift hill,NA,124.6704,5,60.272987,3198.78
Flight Deck,California's Great America,United States,81.4,Operating,B&M,Steel,Lap bar,1993,Chain lift hill,NA,101.7048,3,50.331051,2260.4712
The Smiler,Alton Towers,United Kingdom,81.3,Operating,Gerstlauer,Steel,Lap bar,2013,Chain lift hill,Infinity,98.424,14,52.816535,3838.536
Wild Eagle,Dollywood,United States,81.1,Operating,B&M,Steel,Shoulder harness,2012,Chain lift hill,NA,209.9712,4,60.894358,3126.6024
Joris en de Draak (Water),Efteling,Netherlands,80.3,Operating,GCI,Wooden,Lap bar,2010,Chain lift hill,Twister,72.1776,0,46.602825,2585.2704
Shock,Rainbow MagicLand,Italy,80.3,Operating,Maurer,Steel,Lap bar,2011,Magnetic Launch (LIM/LSM),Looper,114.828,1,62.1371,2460.6
Superman - Ride Of Steel,Six Flags America,United States,80.2,Operating,Intamin,Steel,Lap bar,2e3,Chain lift hill,Megacoaster,196.848,0,72.700407,5347.704
Timber,Walibi Rhône Alpes,France,79.2,Operating,Gravity Group,Wooden,Lap bar,2016,Chain lift hill,Twister,55.7736,0,40.389115,1463.2368
Lisebergbanan,Liseberg,Sweden,79,Operating,Schwarzkopf,Steel,Lap bar,1987,Chain lift hill,Terrain,147.636,0,49.70968,5078.6784
Silver Bullet,Knott's Berry Farm,United States,79,Operating,B&M,Steel,Shoulder harness,2004,Chain lift hill,NA,147.636,6,55.302019,3126.6024
Anubis,Plopsaland,Belgium,78.9,Operating,Gerstlauer,Steel,Shoulder harness,NA,Magnetic Launch (LIM/LSM),Looper,111.5472,3,55.92339,1968.48
Great Bear,Hersheypark,United States,78.9,Operating,B&M,Steel,Shoulder harness,1998,Chain lift hill,NA,88.5816,4,57.787503,2798.5224
Rutschebanen,Tivoli Gardens,Denmark,78.4,Operating,L.A. Thompson Scenic Railway,Wooden,Lap bar,NA,Cable lift hill,Out & Back,42.6504,0,31.06855,2362.176
Hangtime,Knott's Berry Farm,United States,78.4,Operating,Gerstlauer,Steel,Lap bar,NA,Chain lift hill,"Looper, Infinity",150.9168,4,57.166132,2198.136
Thunder dolphin,Tokyo dome city,Japan,78.3,Operating,Intamin,Steel,Lap bar,2003,Cable lift hill,Hyper,262.464,0,80.77823,3510.456
Inferno,CineCittà World,Italy,78.3,Operating,Intamin,Steel,None,NA,NA,"Family, Free Fall",65.616,0,NA,1499.3256
Dominator,Kings Dominion,United States,78.1,Operating,B&M,Steel,Shoulder harness,2008,Chain lift hill,NA,157.4784,5,65.243955,4209.2664
Fahrenheit,Hersheypark,United States,78.1,Operating,Intamin,Steel,Lap bar,2008,Chain lift hill,Looper,121.3896,6,57.787503,2700.0984
The Voyage,Holiday World,United States,77.8,Operating,Gravity Group,Wooden,Lap bar,2006,Chain lift hill,Twister,160.7592,0,67.108068,6440.2104
Wood Express,Parc Saint Paul,France,77.6,Operating,Gravity Group,Hybrid,Lap bar,2018,Chain lift hill,"Twister, Family",49.212,0,37.903631,1571.5032
Dragon Challenge : Hungarian Horntail,Universal Studios Islands of Adventure,United States,77.4,Definitely closed,B&M,Steel,Shoulder harness,1999,Chain lift hill,NA,124.6704,5,55.302019,3198.78
Altair,CineCittà World,Italy,77.3,Operating,Intamin,NA,None,2014,NA,NA,108.2664,0,52.816535,2870.7
Pulsar,Walibi Belgium,Belgium,77.2,Operating,Mack,Steel,Lap bar,NA,Magnetic Launch (LIM/LSM),Shuttle,147.636,0,62.1371,711.9336
Krake,Heide Park,Germany,77,Operating,B&M,Steel,Shoulder harness,2011,Chain lift hill,Dive,134.5128,1,NA,1561.6608
Batman : Arkham Asylum,Parque Warner Madrid,Spain,76.9,Operating,B&M,Steel,Shoulder harness,2002,Chain lift hill,Batman Inverted Coaster,104.9856,5,49.70968,2700.0984
Superman - Ultimate Flight,Six Flags Great Adventure,United States,76.7,Operating,B&M,Steel,Flying restraint,2003,Chain lift hill,NA,104.9856,2,50.952422,2759.1528
Banshee,Kings Island,United States,76.5,Operating,B&M,Steel,Shoulder harness,2014,Chain lift hill,NA,167.3208,7,68.35081,4133.808
Dæmonen,Tivoli Gardens,Denmark,76.3,Operating,B&M,Steel,Shoulder harness,NA,Chain lift hill,Looper,91.8624,3,47.845567,1850.3712
Bizarro,Six Flags Great Adventure,United States,76.1,Operating,B&M,Steel,Shoulder harness,1999,Chain lift hill,NA,141.0744,7,60.894358,3982.8912
Twister,Gröna Lund,Sweden,76.1,Operating,Gravity Group,Wooden,Lap bar,2011,Chain lift hill,Twister,49.212,0,37.903631,1574.784
Megafobia,Oakwood,United Kingdom,76,Operating,CCI,Wooden,Lap bar,1996,Chain lift hill,Twister,85.3008,0,47.845567,2956.0008
Wild Mouse,Blackpool Pleasure Beach,United Kingdom,76,Definitely closed,Unknown,Wooden,Seatbelt,1958,Chain lift hill,Wild Mouse,NA,0,NA,1279.512
Sky Scream,Holiday Park,Germany,75.5,Operating,Premier Rides,Steel,Lap bar,2014,Magnetic Launch (LIM/LSM),Looping,150.9168,1,62.1371,853.008
Thunderbird,PowerPark,Finland,75.3,Operating,GCI,Wooden,Lap bar,2006,Chain lift hill,Twister,88.5816,0,46.602825,2788.68
Wooden Warrior,Quassy Amusement Park,United States,75,Operating,Gravity Group,Wooden,Lap bar,2011,Chain lift hill,Twister,36.0888,0,34.796776,1240.1424
Lynet,Farup Sommerland,Denmark,75,Operating,Gerstlauer,Steel,Shoulder harness,2008,Hydraulic cable launch,Looper,65.616,2,49.70968,1771.632
X-Flight,Six Flags Great America,United States,75,Operating,B&M,Steel,Flying restraint,2012,Chain lift hill,NA,121.3896,5,55.92339,3001.932
Superman - Ultimate Flight,Six Flags Great America,United States,74.9,Operating,B&M,Steel,Flying restraint,2003,Chain lift hill,NA,104.9856,2,50.952422,2798.5224
Tornado,Särkänniemi Amusement Park,Finland,74.6,Operating,Intamin,Steel,Shoulder harness,2001,Chain lift hill,NA,82.02,5,46.602825,2296.56
Tennessee Tornado,Dollywood,United States,74.5,Operating,Arrow,Steel,Shoulder harness,1999,Chain lift hill,Looper,164.04,3,62.758471,2683.6944
White Lightning,Fun Spot America,United States,74.4,Operating,GCI,Wooden,Lap bar,2013,Chain lift hill,Out & Back,75.4584,0,46.602825,1968.48
Phantom's Revenge,Kennywood,United States,74.3,Operating,Arrow,Steel,Lap bar,1991,Chain lift hill,Hyper,229.656,0,82.020972,3198.78
Pegase Express,Parc Asterix,France,74.2,Operating,Gerstlauer,Steel,Lap bar,2017,"Chain lift hill, Booster wheel lift hill, Tire propelled launch",NA,68.8968,0,32.311292,3044.5824
Heidi the Ride,Plopsaland,Belgium,74.2,Operating,GCI,Wooden,Lap bar,2017,Chain lift hill,"Out & Back, Family",72.1776,0,43.49597,2034.096
